2,  2024-09-27 17:05:46.484,  2024-09-27 17:10:17.707, 3535773
1,  2024-09-27 17:05:46.485,  2024-09-27 17:11:39.751, 4555800
3,  2024-09-27 17:05:46.482,  2024-09-27 17:11:58.586, 4846170
9,  2024-09-27 17:11:39.752,  2024-09-27 17:22:46.568, 7965687
19,  2024-09-27 17:10:17.708,  2024-09-27 17:25:16.482, 10678018
5,  2024-09-27 17:25:16.483,  2024-09-27 17:30:39.280, 3866885
11,  2024-09-27 17:22:46.569,  2024-09-27 17:32:23.021, 6876701
24,  2024-09-27 17:11:58.587,  2024-09-27 17:35:37.445, 16786591
7,  2024-09-27 17:35:37.446,  2024-09-27 17:46:10.033, 7560920
21,  2024-09-27 17:30:39.281,  2024-09-27 17:51:45.086, 14868640
4,  2024-09-27 17:05:46.487,  2024-09-27 17:53:40.827, 4996228
16,  2024-09-27 17:05:46.486,  2024-09-27 18:00:23.606, 9221867
14,  2024-09-27 17:53:40.829,  2024-09-27 18:09:23.709, 10768946
10,  2024-09-27 18:00:23.607,  2024-09-27 18:11:53.006, 8302327
23,  2024-09-27 17:51:45.086,  2024-09-27 18:15:52.800, 16813336
8,  2024-09-27 18:09:23.710,  2024-09-27 18:17:21.509, 5747293
0,  2024-09-27 18:15:52.801,  2024-09-27 18:22:09.611, 4466162
15,  2024-09-27 18:11:53.008,  2024-09-27 18:27:45.397, 11283096
20,  2024-09-27 17:32:23.022,  2024-09-27 18:34:35.317, 14756670
25,  2024-09-27 18:34:35.318,  2024-09-27 18:34:36.250, 1
6,  2024-09-27 18:27:45.397,  2024-09-27 18:36:30.328, 6370524
12,  2024-09-27 17:46:10.034,  2024-09-27 18:41:20.317, 10128650
13,  2024-09-27 18:36:30.329,  2024-09-27 18:46:38.088, 7727466
18,  2024-09-27 18:34:36.251,  2024-09-27 18:50:57.219, 13560612
22,  2024-09-27 18:17:21.510,  2024-09-27 19:06:49.475, 11716800
17,  2024-09-27 18:22:09.612,  2024-09-27 19:10:38.746, 12960388
