24,  2024-09-29 14:20:20.470,  2024-09-29 14:23:51.498, 2786928
22,  2024-09-29 14:20:20.755,  2024-09-29 14:30:09.876, 6638680
8,  2024-09-29 14:20:20.537,  2024-09-29 14:34:42.944, 9958020
11,  2024-09-29 14:20:21.435,  2024-09-29 14:34:43.945, 9958020
17,  2024-09-29 14:20:20.668,  2024-09-29 14:35:37.954, 9958020
12,  2024-09-29 14:23:51.898,  2024-09-29 14:38:47.002, 9958020
20,  2024-09-29 14:34:43.285,  2024-09-29 14:48:01.103, 8704046
1,  2024-09-29 14:34:43.514,  2024-09-29 14:49:28.125, 9958032
25,  2024-09-29 14:49:27.493,  2024-09-29 14:49:28.698, 1
14,  2024-09-29 14:38:46.868,  2024-09-29 14:53:25.191, 9958020
9,  2024-09-29 14:48:01.665,  2024-09-29 15:02:21.314, 9958020
6,  2024-09-29 14:49:29.072,  2024-09-29 15:03:48.332, 9958020
13,  2024-09-29 14:53:25.436,  2024-09-29 15:07:39.381, 9958020
23,  2024-09-29 15:02:20.474,  2024-09-29 15:11:11.427, 6174019
7,  2024-09-29 15:03:48.847,  2024-09-29 15:17:42.515, 9958020
18,  2024-09-29 15:07:39.212,  2024-09-29 15:22:18.579, 9958020
10,  2024-09-29 15:11:12.385,  2024-09-29 15:25:18.618, 9958020
5,  2024-09-29 15:17:42.330,  2024-09-29 15:32:31.718, 9958032
19,  2024-09-29 15:25:17.909,  2024-09-29 15:40:04.804, 9958020
15,  2024-09-29 15:32:31.844,  2024-09-29 15:46:42.892, 9958020
16,  2024-09-29 15:40:04.562,  2024-09-29 15:54:18.024, 9958020
4,  2024-09-29 15:46:42.071,  2024-09-29 15:59:55.035, 9958032
21,  2024-09-29 15:54:18.054,  2024-09-29 16:02:57.117, 6897405
2,  2024-09-29 14:30:10.282,  2024-09-29 16:19:18.379, 9958032
0,  2024-09-29 15:22:18.252,  2024-09-29 16:22:01.408, 9958032
3,  2024-09-29 14:35:38.049,  2024-09-29 16:23:39.432, 9958032
